Class1,Class2,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,Mean
empathetic_dialogue,empathetic_dialogue,23,30,36,29,19,17,16,17,11,6,8,7,4,10,6,8,18,13,25,9,23,22,19,22,20,20,16.85
empathetic_dialogue,math,15,21,28,22,13,10,11,9,5,2,3,2,1,4,2,5,8,7,15,6,14,13,14,14,14,10,10.31
empathetic_dialogue,mmlu,21,28,34,27,18,14,15,14,8,3,5,4,2,6,3,6,13,11,22,8,19,18,17,18,17,15,14.08
empathetic_dialogue,programming,20,27,34,27,18,15,15,13,7,3,5,3,2,6,3,6,11,10,20,8,17,17,16,17,16,14,13.46
math,math,29,39,44,38,28,22,30,21,14,9,13,11,7,12,11,17,19,20,28,18,29,29,29,27,29,22,22.88
math,mmlu,24,34,39,32,23,17,23,17,10,5,8,7,4,9,7,12,15,15,24,14,23,23,23,23,25,16,18.15
math,programming,25,34,40,32,23,18,25,18,10,6,9,7,5,9,7,13,15,15,24,15,23,24,23,22,23,16,18.5
mmlu,mmlu,41,52,57,47,36,30,36,33,24,15,19,18,10,20,17,21,34,28,44,23,43,44,38,42,43,36,32.73
mmlu,programming,33,43,49,39,30,24,30,23,13,7,11,8,5,11,7,15,19,19,31,17,29,31,27,29,28,21,23.04
programming,programming,42,53,57,48,38,34,41,32,19,13,20,15,11,18,13,23,26,27,40,25,38,41,36,36,37,31,31.31
