Type,Layer,Class1,Class2,Pearson_Correlation,Spearman_Correlation,Cosine_Similarity,Jaccard_Similarity
res,0,empathetic_dialogue,empathetic_dialogue,"PearsonRResult(statistic=1.0, pvalue=0.0)","(1.0, 0.0)",1.0000000000000004,1.0
res,0,empathetic_dialogue,math,"PearsonRResult(statistic=0.6168497451416401, pvalue=0.0)","(0.505007342816825, 0.0)",0.6198039115593825,0.12489054423837033
res,0,empathetic_dialogue,mmlu,"PearsonRResult(statistic=0.8102138058983064, pvalue=0.0)","(0.6460086422185757, 0.0)",0.8113777249697063,0.2700212780023653
res,0,empathetic_dialogue,programming,"PearsonRResult(statistic=0.46599809805697046, pvalue=0.0)","(0.6152040319815749, 0.0)",0.47073536439997976,0.13155491703869704
res,0,math,empathetic_dialogue,"PearsonRResult(statistic=0.6168497451416401, pvalue=0.0)","(0.5050073428168249, 0.0)",0.6198039115593825,0.12489054423837033
res,0,math,math,"PearsonRResult(statistic=1.0, pvalue=0.0)","(1.0, 0.0)",0.9999999999999999,1.0
res,0,math,mmlu,"PearsonRResult(statistic=0.7487294818211694, pvalue=0.0)","(0.6400559981054723, 0.0)",0.7518861806064914,0.2774507784825768
res,0,math,programming,"PearsonRResult(statistic=0.6410023582649744, pvalue=0.0)","(0.7115809632239932, 0.0)",0.646210674057366,0.30238672079774587
res,0,mmlu,empathetic_dialogue,"PearsonRResult(statistic=0.8102138058983065, pvalue=0.0)","(0.6460086422185758, 0.0)",0.8113777249697063,0.2700212780023653
res,0,mmlu,math,"PearsonRResult(statistic=0.7487294818211694, pvalue=0.0)","(0.6400559981054723, 0.0)",0.7518861806064914,0.2774507784825768
res,0,mmlu,mmlu,"PearsonRResult(statistic=1.0, pvalue=0.0)","(0.9999999999999998, 0.0)",1.0000000000000004,1.0
res,0,mmlu,programming,"PearsonRResult(statistic=0.6925533712439907, pvalue=0.0)","(0.7636043083358972, 0.0)",0.6969020517079976,0.3061669378506011
res,0,programming,empathetic_dialogue,"PearsonRResult(statistic=0.4659980980569704, pvalue=0.0)","(0.6152040319815749, 0.0)",0.47073536439997976,0.13155491703869704
res,0,programming,math,"PearsonRResult(statistic=0.6410023582649743, pvalue=0.0)","(0.7115809632239931, 0.0)",0.646210674057366,0.30238672079774587
res,0,programming,mmlu,"PearsonRResult(statistic=0.6925533712439906, pvalue=0.0)","(0.7636043083358971, 0.0)",0.6969020517079976,0.3061669378506011
res,0,programming,programming,"PearsonRResult(statistic=0.9999999999999999, pvalue=0.0)","(1.0, 0.0)",0.9999999999999998,1.0
mlp,0,empathetic_dialogue,empathetic_dialogue,"PearsonRResult(statistic=1.0, pvalue=0.0)","(1.0, 0.0)",1.0,1.0
mlp,0,empathetic_dialogue,math,"PearsonRResult(statistic=0.9121648270646384, pvalue=0.0)","(0.4781545182835234, 0.0)",0.9122967485401381,0.1693498334966337
mlp,0,empathetic_dialogue,mmlu,"PearsonRResult(statistic=0.9594580923526421, pvalue=0.0)","(0.6086395998298848, 0.0)",0.9595394647579818,0.3127097453444759
mlp,0,empathetic_dialogue,programming,"PearsonRResult(statistic=0.8976533811728601, pvalue=0.0)","(0.6068344713576543, 0.0)",0.8978188537509775,0.14652340998538113
mlp,0,math,empathetic_dialogue,"PearsonRResult(statistic=0.9121648270646385, pvalue=0.0)","(0.47815451828352334, 0.0)",0.9122967485401381,0.1693498334966337
mlp,0,math,math,"PearsonRResult(statistic=1.0, pvalue=0.0)","(1.0, 0.0)",1.0,1.0
mlp,0,math,mmlu,"PearsonRResult(statistic=0.9514160630706655, pvalue=0.0)","(0.6388106391683678, 0.0)",0.9514860347508997,0.3871983796094912
mlp,0,math,programming,"PearsonRResult(statistic=0.9697705704643143, pvalue=0.0)","(0.6961942911841281, 0.0)",0.9698169575771851,0.45075603858232166
mlp,0,mmlu,empathetic_dialogue,"PearsonRResult(statistic=0.959458092352642, pvalue=0.0)","(0.6086395998298848, 0.0)",0.9595394647579818,0.3127097453444759
mlp,0,mmlu,math,"PearsonRResult(statistic=0.9514160630706656, pvalue=0.0)","(0.6388106391683678, 0.0)",0.9514860347508997,0.3871983796094912
mlp,0,mmlu,mmlu,"PearsonRResult(statistic=0.9999999999999998, pvalue=0.0)","(1.0, 0.0)",1.0000000000000002,1.0
mlp,0,mmlu,programming,"PearsonRResult(statistic=0.9523592652683779, pvalue=0.0)","(0.7594783574048123, 0.0)",0.9524315997339234,0.3498203933025276
mlp,0,programming,empathetic_dialogue,"PearsonRResult(statistic=0.8976533811728601, pvalue=0.0)","(0.6068344713576543, 0.0)",0.8978188537509775,0.14652340998538113
mlp,0,programming,math,"PearsonRResult(statistic=0.9697705704643141, pvalue=0.0)","(0.6961942911841281, 0.0)",0.9698169575771851,0.45075603858232166
mlp,0,programming,mmlu,"PearsonRResult(statistic=0.9523592652683779, pvalue=0.0)","(0.7594783574048123, 0.0)",0.9524315997339234,0.3498203933025276
mlp,0,programming,programming,"PearsonRResult(statistic=1.0, pvalue=0.0)","(1.0, 0.0)",1.0,1.0
att,0,empathetic_dialogue,empathetic_dialogue,"PearsonRResult(statistic=1.0, pvalue=0.0)","(1.0, 0.0)",1.0,1.0
att,0,empathetic_dialogue,math,"PearsonRResult(statistic=0.7749232353890063, pvalue=0.0)","(0.4789735741092141, 0.0)",0.7751983397570035,0.1829774553034299
att,0,empathetic_dialogue,mmlu,"PearsonRResult(statistic=0.8501644469440818, pvalue=0.0)","(0.6131900572297184, 0.0)",0.8503797040474684,0.32819269889069846
att,0,empathetic_dialogue,programming,"PearsonRResult(statistic=0.5109151756183434, pvalue=0.0)","(0.5794678768920233, 0.0)",0.5118468015509348,0.13001472596500202
att,0,math,empathetic_dialogue,"PearsonRResult(statistic=0.7749232353890065, pvalue=0.0)","(0.4789735741092141, 0.0)",0.7751983397570035,0.1829774553034299
att,0,math,math,"PearsonRResult(statistic=1.0, pvalue=0.0)","(1.0, 0.0)",1.0,1.0
att,0,math,mmlu,"PearsonRResult(statistic=0.8283457610663765, pvalue=0.0)","(0.6057395503158522, 0.0)",0.8286999040527008,0.36225091092304434
att,0,math,programming,"PearsonRResult(statistic=0.6499785557484697, pvalue=0.0)","(0.6510091652002655, 0.0)",0.6512602497941655,0.3221045985848443
att,0,mmlu,empathetic_dialogue,"PearsonRResult(statistic=0.8501644469440818, pvalue=0.0)","(0.6131900572297185, 0.0)",0.8503797040474684,0.32819269889069846
att,0,mmlu,math,"PearsonRResult(statistic=0.8283457610663765, pvalue=0.0)","(0.6057395503158522, 0.0)",0.8286999040527008,0.36225091092304434
att,0,mmlu,mmlu,"PearsonRResult(statistic=0.9999999999999998, pvalue=0.0)","(1.0, 0.0)",0.9999999999999996,1.0
att,0,mmlu,programming,"PearsonRResult(statistic=0.8081004829291116, pvalue=0.0)","(0.7370831632651971, 0.0)",0.8085069438575451,0.325387289190233
att,0,programming,empathetic_dialogue,"PearsonRResult(statistic=0.5109151756183434, pvalue=0.0)","(0.5794678768920234, 0.0)",0.5118468015509348,0.13001472596500202
att,0,programming,math,"PearsonRResult(statistic=0.6499785557484697, pvalue=0.0)","(0.6510091652002656, 0.0)",0.6512602497941655,0.3221045985848443
att,0,programming,mmlu,"PearsonRResult(statistic=0.8081004829291116, pvalue=0.0)","(0.7370831632651971, 0.0)",0.8085069438575451,0.325387289190233
att,0,programming,programming,"PearsonRResult(statistic=0.9999999999999997, pvalue=0.0)","(1.0, 0.0)",0.9999999999999998,1.0
